tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,cur_passengers,cur_fare,ly_fare,ly_passengers,amount_change,percent_change,amount_change_pax,percent_change_pax,Geocoded_City1,Geocoded_City2
Table 4,2009,3,30977,31135,"Chicago, IL","Myrtle Beach, SC",24840,115.8,246.37,6200,-130.57,-0.53,18640,3.0065,"Chicago, IL
(41.775002, -87.696388)","Myrtle Beach, SC
(33.68785, -78.883852)"
Table 4,1999,4,30194,35412,"Dallas/Fort Worth, TX","Knoxville, TN",18780,136.83,200.53,13210,-63.7,-0.3177,5570,0.4217,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Knoxville, TN
(35.962631, -83.916677)"
Table 4,1999,1,30397,30529,"Atlanta, GA (Metropolitan Area)","Hartford, CT",61530,153.46,309.9,35850,-156.44,-0.5048,25680,0.7163,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Hartford, CT
(41.765775, -72.673356)"
Table 4,1996,1,30189,33851,"Colorado Springs, CO","Oklahoma City, OK",23780,61.98,177.78,1740,-115.8,-0.6514,22040,12.6667,"Colorado Springs, CO
(38.835224, -104.819798)","Oklahoma City, OK
(35.468494, -97.521264)"
Table 4,2001,3,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",35310,225.48,338.75,32300,-113.27,-0.3344,3010,0.0932,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2005,1,31295,30852,"Detroit, MI","Washington, DC (Metropolitan Area)",143460,129.83,232.47,90510,-102.64,-0.4415,52950,0.585,"Detroit, MI
(42.332916, -83.047853)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2005,1,31871,30852,"Greenville/Spartanburg, SC","Washington, DC (Metropolitan Area)",30080,116.07,269.16,8740,-153.1,-0.5688,21340,2.4416,"Greenville/Spartanburg, SC
(44.513288, -88.013256)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2007,2,30194,33316,"Dallas/Fort Worth, TX","Omaha, NE",38470,165.26,242.74,25100,-77.48,-0.3192,13370,0.5327,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Omaha, NE
(46.07035, -93.666319)"
Table 4,2007,2,32211,33244,"Las Vegas, NV","Memphis, TN",29320,177.02,277.42,19170,-100.4,-0.3619,10150,0.5295,"Las Vegas, NV
(36.169202, -115.140597)","Memphis, TN
(35.143378, -90.052136)"
Table 4,2000,1,30529,30693,"Hartford, CT","Nashville, TN",13930,139.22,269.61,6410,-130.39,-0.4836,7520,1.1732,"Hartford, CT
(41.765775, -72.673356)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2000,3,30529,30693,"Hartford, CT","Nashville, TN",22140,120.84,259.73,8210,-138.88,-0.5347,13930,1.6967,"Hartford, CT
(41.765775, -72.673356)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2000,1,32211,31650,"Las Vegas, NV","Minneapolis/St. Paul, MN",135200,134.04,193.15,53680,-59.11,-0.306,81520,1.5186,"Las Vegas, NV
(36.169202, -115.140597)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,2009,3,30397,32070,"Atlanta, GA (Metropolitan Area)","Harrisburg, PA",17050,175.44,334.01,9940,-158.57,-0.4748,7110,0.7153,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Harrisburg, PA
(40.259572, -76.881821)"
Table 4,2002,3,30721,32070,"Boston, MA (Metropolitan Area)","Harrisburg, PA",14470,145.39,242.24,8140,-96.85,-0.3998,6330,0.7776,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Harrisburg, PA
(40.259572, -76.881821)"
Table 4,2005,2,30994,30852,"Charleston, SC","Washington, DC (Metropolitan Area)",63490,144.04,216.5,26510,-72.46,-0.3347,36980,1.3949,"Charleston, SC
(32.77647, -79.931027)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,1996,3,32457,34653,"San Francisco, CA (Metropolitan Area)","Tulsa, OK",27610,121.94,214.74,14590,-92.79,-0.4321,13020,0.8924,"San Francisco, CA (Metropolitan Area)
(37.78008, -122.420168)","Tulsa, OK
(61.096484, -160.967455)"
Table 4,2002,1,32467,35249,"Miami, FL (Metropolitan Area)","Tallahassee, FL",42530,105.16,167.98,30820,-62.83,-0.374,11710,0.3799,"Miami, FL (Metropolitan Area)
(44.977479, -93.264346)","Tallahassee, FL
(38.921902, -120.020798)"
Table 4,1996,3,33105,32211,"Cincinnati, OH","Las Vegas, NV",20680,148.08,257.58,7320,-109.5,-0.4251,13360,1.8251,"Cincinnati, OH
(39.104427, -84.513808)","Las Vegas, NV
(36.169202, -115.140597)"
Table 4,2007,1,30721,31135,"Boston, MA (Metropolitan Area)","Myrtle Beach, SC",26310,120.86,172.83,12450,-51.97,-0.3007,13860,1.1133,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Myrtle Beach, SC
(33.68785, -78.883852)"
Table 4,2012,2,30325,31775,"Denver, CO","Sioux Falls, SD",17580,144.88,214.74,8830,-69.87,-0.3253,8750,0.9909,"Denver, CO
(39.738453, -104.984853)","Sioux Falls, SD
(43.488765, -96.743185)"
Table 4,2005,1,34100,33570,"Philadelphia, PA","San Diego, CA",52860,190.47,289.46,36470,-98.98,-0.342,16390,0.4494,"Philadelphia, PA
(39.951061, -75.16562)","San Diego, CA
(32.71576, -117.163817)"
Table 4,1996,4,33105,30559,"Cincinnati, OH","Seattle, WA",14950,241.9,367.05,7000,-125.15,-0.341,7950,1.1357,"Cincinnati, OH
(39.104427, -84.513808)","Seattle, WA
(47.603229, -122.33028)"
Table 4,2007,2,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",69940,166.79,243.22,49680,-76.42,-0.3142,20260,0.4078,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2009,2,31650,30198,"Minneapolis/St. Paul, MN","Pittsburgh, PA",28730,170.28,294.95,24810,-124.66,-0.4227,3920,0.158,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2018,3,30397,30693,"Atlanta, GA (Metropolitan Area)","Nashville, TN",39290,180.15,298.97,22020,-118.82,-0.3974,17270,0.7843,,
Table 4,1996,1,30599,33195,"Birmingham, AL","Tampa, FL (Metropolitan Area)",11150,95.99,211.21,4120,-115.22,-0.5455,7030,1.7063,"Birmingham, AL
(33.522859, -86.807705)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,2005,1,30397,35096,"Atlanta, GA (Metropolitan Area)","Syracuse, NY",14550,187.93,273.38,9750,-85.44,-0.3126,4800,0.4923,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Syracuse, NY
(43.047945, -76.147448)"
Table 4,2005,1,30721,30647,"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",62410,139.32,246.89,47780,-107.57,-0.4357,14630,0.3062,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)"
Table 4,2001,3,30792,34492,"Buffalo, NY","Raleigh/Durham, NC",18140,92.84,133.66,12740,-40.82,-0.3054,5400,0.4239,"Buffalo, NY
(39.945422, -78.64671)","Raleigh/Durham, NC
(42.673348, -72.179683)"
Table 4,2006,4,30325,33198,"Denver, CO","Kansas City, MO",109430,97.46,161.35,69140,-63.89,-0.396,40290,0.5827,"Denver, CO
(39.738453, -104.984853)","Kansas City, MO
(39.099792, -94.578559)"
Table 4,1999,4,32211,31650,"Las Vegas, NV","Minneapolis/St. Paul, MN",100010,130.12,188.83,40890,-58.72,-0.311,59120,1.4458,"Las Vegas, NV
(36.169202, -115.140597)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,1996,1,30189,33214,"Colorado Springs, CO","San Antonio, TX",20480,96.27,186.52,4330,-90.25,-0.4838,16150,3.7298,"Colorado Springs, CO
(38.835224, -104.819798)","San Antonio, TX
(29.425173, -98.494599)"
Table 4,1996,1,30189,30693,"Colorado Springs, CO","Nashville, TN",13980,101.3,265.21,1840,-163.91,-0.618,12140,6.5978,"Colorado Springs, CO
(38.835224, -104.819798)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2003,1,30977,34524,"Chicago, IL","Richmond, VA",20200,196.23,287.69,16950,-91.46,-0.3179,3250,0.1917,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)"
Table 4,2009,4,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",30780,204.9,319.79,25500,-114.88,-0.3592,5280,0.2071,"Indianapolis, IN
(39.76845, -86.156212)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,1997,3,31267,31454,"Dayton, OH","Orlando, FL",24620,96.7,170.77,19660,-74.07,-0.4337,4960,0.2523,"Dayton, OH
(39.760982, -84.192203)","Orlando, FL
(28.538331, -81.378879)"
Table 4,2007,3,30397,30994,"Atlanta, GA (Metropolitan Area)","Charleston, SC",25570,118.79,264.39,12060,-145.59,-0.5507,13510,1.1202,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Charleston, SC
(32.77647, -79.931027)"
Table 4,1999,1,31295,34100,"Detroit, MI","Philadelphia, PA",68390,121.04,265.19,47530,-144.14,-0.5436,20860,0.4389,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2003,1,33342,33195,"Milwaukee, WI","Tampa, FL (Metropolitan Area)",49100,115.23,165.25,31090,-50.02,-0.3027,18010,0.5793,"Milwaukee, WI
(43.041072, -87.909421)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,2006,4,30693,31703,"Nashville, TN","New York City, NY (Metropolitan Area)",139890,142.79,208.76,99540,-65.97,-0.316,40350,0.4054,"Nashville, TN
(36.166687, -86.779932)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2002,3,35249,30852,"Tallahassee, FL","Washington, DC (Metropolitan Area)",13920,146.28,215.19,8640,-68.91,-0.3202,5280,0.6111,"Tallahassee, FL
(38.921902, -120.020798)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2004,4,34100,34492,"Philadelphia, PA","Raleigh/Durham, NC",72420,79.72,192.3,43910,-112.58,-0.5855,28510,0.6493,"Philadelphia, PA
(39.951061, -75.16562)","Raleigh/Durham, NC
(42.673348, -72.179683)"
Table 4,1998,3,30397,31453,"Atlanta, GA (Metropolitan Area)","Houston, TX",124650,134.15,215.03,87620,-80.87,-0.3761,37030,0.4226,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Houston, TX
(29.760803, -95.369506)"
Table 4,2007,3,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",30500,178.61,277.8,18280,-99.19,-0.3571,12220,0.6685,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Louisville, KY
(38.256078, -85.751569)"
Table 4,1998,2,31295,31703,"Detroit, MI","New York City, NY (Metropolitan Area)",272730,147.58,236.56,199140,-88.98,-0.3761,73590,0.3695,"Detroit, MI
(42.332916, -83.047853)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2001,4,33192,30852,"Sacramento, CA","Washington, DC (Metropolitan Area)",45270,188.35,275.58,41720,-87.22,-0.3165,3550,0.0851,"Sacramento, CA
(38.582087, -121.50012)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2007,3,30135,33195,"Allentown/Bethlehem/Easton, PA","Tampa, FL (Metropolitan Area)",15510,109.06,157.31,4280,-48.25,-0.3067,11230,2.6238,"Allentown/Bethlehem/Easton, PA
(40.602753, -75.469759)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,2004,3,31295,30852,"Detroit, MI","Washington, DC (Metropolitan Area)",167950,116.15,225.82,103340,-109.67,-0.4856,64610,0.6252,"Detroit, MI
(42.332916, -83.047853)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2009,4,33105,33570,"Cincinnati, OH","San Diego, CA",15200,222.88,401,6190,-178.12,-0.4442,9010,1.4556,"Cincinnati, OH
(39.104427, -84.513808)","San Diego, CA
(32.71576, -117.163817)"
Table 4,1996,3,31454,34653,"Orlando, FL","Tulsa, OK",11860,121.07,175.62,6260,-54.54,-0.3106,5600,0.8946,"Orlando, FL
(28.538331, -81.378879)","Tulsa, OK
(61.096484, -160.967455)"
Table 4,2004,4,32337,34100,"Indianapolis, IN","Philadelphia, PA",38230,151.26,232.25,27000,-80.99,-0.3487,11230,0.4159,"Indianapolis, IN
(39.76845, -86.156212)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2005,1,33105,33198,"Cincinnati, OH","Kansas City, MO",13960,166.21,259.6,8600,-93.39,-0.3598,5360,0.6233,"Cincinnati, OH
(39.104427, -84.513808)","Kansas City, MO
(39.099792, -94.578559)"
Table 4,1996,1,33316,30466,"Omaha, NE","Phoenix, AZ",53690,77.52,130.85,39220,-53.34,-0.4076,14470,0.3689,"Omaha, NE
(46.07035, -93.666319)","Phoenix, AZ
(30.406931, -87.217578)"
Table 4,2002,4,30397,35249,"Atlanta, GA (Metropolitan Area)","Tallahassee, FL",15910,100.88,170.43,8910,-69.55,-0.4081,7000,0.7856,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Tallahassee, FL
(38.921902, -120.020798)"
Table 4,2012,4,31003,30325,"Cedar Rapids/Iowa City, IA","Denver, CO",17300,155.38,331.39,6690,-176,-0.5311,10610,1.5859,"Cedar Rapids/Iowa City, IA
(41.978122, -91.669808)","Denver, CO
(39.738453, -104.984853)"
Table 4,2004,2,30325,33044,"Denver, CO","Louisville, KY",15130,144,212.84,9440,-68.84,-0.3235,5690,0.6028,"Denver, CO
(39.738453, -104.984853)","Louisville, KY
(38.256078, -85.751569)"
Table 4,2007,1,30198,30852,"Pittsburgh, PA","Washington, DC (Metropolitan Area)",34800,160.98,251,28730,-90.03,-0.3587,6070,0.2113,"Pittsburgh, PA
(40.442169, -79.994945)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2006,4,30693,34100,"Nashville, TN","Philadelphia, PA",58120,121.9,179.47,37310,-57.57,-0.3208,20810,0.5578,"Nashville, TN
(36.166687, -86.779932)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2002,2,34100,30198,"Philadelphia, PA","Pittsburgh, PA",59400,149.36,228.1,66810,-78.75,-0.3452,-7410,-0.1109,"Philadelphia, PA
(39.951061, -75.16562)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2006,3,30194,33198,"Dallas/Fort Worth, TX","Kansas City, MO",124450,107.9,234.23,65110,-126.33,-0.5393,59340,0.9114,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Kansas City, MO
(39.099792, -94.578559)"
Table 4,2007,3,30158,32211,"Atlantic City, NJ","Las Vegas, NV",21780,137.84,217.44,1530,-79.6,-0.3661,20250,13.2353,"Atlantic City, NJ
(33.748547, -84.391502)","Las Vegas, NV
(36.169202, -115.140597)"
Table 4,1996,2,30977,34570,"Chicago, IL","Reno, NV",37890,132.02,196.16,24600,-64.14,-0.327,13290,0.5402,"Chicago, IL
(41.775002, -87.696388)","Reno, NV
(30.177159, -95.162771)"
Table 4,2002,3,30977,30559,"Chicago, IL","Seattle, WA",183470,160.08,231.68,141840,-71.6,-0.3091,41630,0.2935,"Chicago, IL
(41.775002, -87.696388)","Seattle, WA
(47.603229, -122.33028)"
Table 4,1997,4,31295,30693,"Detroit, MI","Nashville, TN",72340,104.31,161.13,59930,-56.82,-0.3526,12410,0.2071,"Detroit, MI
(42.332916, -83.047853)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2002,3,31057,30977,"Charlotte, NC","Chicago, IL",89780,135.67,229.02,51890,-93.35,-0.4076,37890,0.7302,"Charlotte, NC
(35.222936, -80.840161)","Chicago, IL
(41.775002, -87.696388)"
Table 4,2009,3,33342,31123,"Milwaukee, WI","St. Louis, MO",17660,96.43,233.02,10370,-136.59,-0.5862,7290,0.703,"Milwaukee, WI
(43.041072, -87.909421)","St. Louis, MO
(38.630276, -90.200309)"
Table 4,1996,2,30189,32337,"Colorado Springs, CO","Indianapolis, IN",20690,109.87,176.54,4560,-66.67,-0.3776,16130,3.5373,"Colorado Springs, CO
(38.835224, -104.819798)","Indianapolis, IN
(39.76845, -86.156212)"
Table 4,1996,2,30189,31453,"Colorado Springs, CO","Houston, TX",43250,113.11,211.06,5750,-97.95,-0.4641,37500,6.5217,"Colorado Springs, CO
(38.835224, -104.819798)","Houston, TX
(29.760803, -95.369506)"
Table 4,1996,2,30977,31135,"Chicago, IL","Myrtle Beach, SC",13620,107.35,164.21,4780,-56.87,-0.3463,8840,1.8494,"Chicago, IL
(41.775002, -87.696388)","Myrtle Beach, SC
(33.68785, -78.883852)"
Table 4,2009,3,33342,33195,"Milwaukee, WI","Tampa, FL (Metropolitan Area)",39410,101.86,146.49,32490,-44.63,-0.3047,6920,0.213,"Milwaukee, WI
(43.041072, -87.909421)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,1996,2,33198,30693,"Kansas City, MO","Nashville, TN",25350,85.1,162.52,12550,-77.42,-0.4764,12800,1.0199,"Kansas City, MO
(39.099792, -94.578559)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2007,2,30599,30194,"Birmingham, AL","Dallas/Fort Worth, TX",49450,120.71,211.98,28970,-91.27,-0.4306,20480,0.7069,"Birmingham, AL
(33.522859, -86.807705)","Dallas/Fort Worth, TX
(40.11086, -77.035636)"
Table 4,2009,2,30721,31057,"Boston, MA (Metropolitan Area)","Charlotte, NC",109440,157.4,230.05,105090,-72.65,-0.3158,4350,0.0414,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Charlotte, NC
(35.222936, -80.840161)"
Table 4,2004,1,31057,34027,"Charlotte, NC","West Palm Beach/Palm Beach, FL",14280,146.06,209.73,10790,-63.67,-0.3036,3490,0.3234,"Charlotte, NC
(35.222936, -80.840161)","West Palm Beach/Palm Beach, FL
(33.90976, -98.500854)"
Table 4,1996,4,30599,32467,"Birmingham, AL","Miami, FL (Metropolitan Area)",15220,136.41,236.87,7390,-100.46,-0.4241,7830,1.0595,"Birmingham, AL
(33.522859, -86.807705)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)"
Table 4,1996,4,32211,31454,"Las Vegas, NV","Orlando, FL",47750,124.79,194.75,22000,-69.96,-0.3592,25750,1.1705,"Las Vegas, NV
(36.169202, -115.140597)","Orlando, FL
(28.538331, -81.378879)"
Table 4,1997,4,30397,30194,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",237640,134.53,208.47,180380,-73.93,-0.3546,57260,0.3174,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Dallas/Fort Worth, TX
(40.11086, -77.035636)"
Table 4,2013,4,30721,34100,"Boston, MA (Metropolitan Area)","Philadelphia, PA",209880,159.33,256.73,141500,-97.4,-0.3794,68380,0.4833,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2001,4,31136,33667,"Jacksonville, FL","Norfolk, VA (Metropolitan Area)",22270,94.79,138.37,16670,-43.58,-0.3149,5600,0.3359,"Jacksonville, FL
(30.325968, -81.65676)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)"
Table 4,2009,2,31066,31714,"Columbus, OH","Fort Myers, FL",31150,139.12,211.72,14530,-72.6,-0.3429,16620,1.1438,"Columbus, OH
(39.962649, -82.996216)","Fort Myers, FL
(40.253979, -103.801495)"
Table 4,2001,2,30397,35165,"Atlanta, GA (Metropolitan Area)","Toledo, OH",17470,110.38,172.73,7320,-62.34,-0.3609,10150,1.3866,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Toledo, OH
(41.655298, -83.535717)"
Table 4,2004,1,30693,34100,"Nashville, TN","Philadelphia, PA",26590,145.41,274.62,15380,-129.22,-0.4705,11210,0.7289,"Nashville, TN
(36.166687, -86.779932)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2004,2,31057,31454,"Charlotte, NC","Orlando, FL",39280,143.9,222.32,23190,-78.42,-0.3527,16090,0.6938,"Charlotte, NC
(35.222936, -80.840161)","Orlando, FL
(28.538331, -81.378879)"
Table 4,1997,4,31136,33495,"Jacksonville, FL","New Orleans, LA",16290,89.07,132.14,8280,-43.07,-0.3259,8010,0.9674,"Jacksonville, FL
(30.325968, -81.65676)","New Orleans, LA
(29.950621, -90.074948)"
Table 4,2004,4,31267,30852,"Dayton, OH","Washington, DC (Metropolitan Area)",36370,121.45,192.48,23730,-71.03,-0.369,12640,0.5327,"Dayton, OH
(39.760982, -84.192203)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2000,2,33342,31650,"Milwaukee, WI","Minneapolis/St. Paul, MN",62250,145.21,213.42,38470,-68.21,-0.3196,23780,0.6181,"Milwaukee, WI
(43.041072, -87.909421)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)"
Table 4,1996,2,30977,30868,"Chicago, IL","Columbia, SC",11900,157.21,227.83,8130,-70.62,-0.31,3770,0.4637,"Chicago, IL
(41.775002, -87.696388)","Columbia, SC
(39.962649, -82.996216)"
Table 4,1997,2,31136,33195,"Jacksonville, FL","Tampa, FL (Metropolitan Area)",17450,75.21,111.87,420,-36.66,-0.3277,17030,40.5476,"Jacksonville, FL
(30.325968, -81.65676)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,2005,1,30647,31703,"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",131430,142.46,220.16,104280,-77.71,-0.353,27150,0.2604,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,2011,3,30977,31871,"Chicago, IL","Greenville/Spartanburg, SC",28350,178.18,278.9,10230,-100.72,-0.3611,18120,1.7713,"Chicago, IL
(41.775002, -87.696388)","Greenville/Spartanburg, SC
(44.513288, -88.013256)"
Table 4,2009,3,33105,30325,"Cincinnati, OH","Denver, CO",23290,192.95,338.41,14330,-145.46,-0.4298,8960,0.6253,"Cincinnati, OH
(39.104427, -84.513808)","Denver, CO
(39.738453, -104.984853)"
Table 4,2015,3,30647,32467,"Cleveland, OH (Metropolitan Area)","Miami, FL (Metropolitan Area)",64490,136.1,225.7,45930,-89.59,-0.397,18560,0.4041,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)"
Table 4,2001,2,30792,32575,"Buffalo, NY","Los Angeles, CA (Metropolitan Area)",36780,171.92,296.03,18680,-124.1,-0.4192,18100,0.969,"Buffalo, NY
(39.945422, -78.64671)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)"
Table 4,1996,3,30397,30562,"Atlanta, GA (Metropolitan Area)","Mobile, AL",15240,113.08,210.72,11770,-97.64,-0.4634,3470,0.2948,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Mobile, AL
(34.661541, -77.695461)"
Table 4,2008,1,30397,33570,"Atlanta, GA (Metropolitan Area)","San Diego, CA",59020,214.62,330.36,40840,-115.73,-0.3503,18180,0.4452,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","San Diego, CA
(32.71576, -117.163817)"
Table 4,2015,2,33105,31714,"Cincinnati, OH","Fort Myers, FL",21390,170.52,246.65,17370,-76.13,-0.3087,4020,0.2314,"Cincinnati, OH
(39.104427, -84.513808)","Fort Myers, FL
(40.253979, -103.801495)"
Table 4,1996,3,30599,32467,"Birmingham, AL","Miami, FL (Metropolitan Area)",15820,128.38,243.8,8000,-115.42,-0.4734,7820,0.9775,"Birmingham, AL
(33.522859, -86.807705)","Miami, FL (Metropolitan Area)
(44.977479, -93.264346)"
Table 4,2013,3,30721,34100,"Boston, MA (Metropolitan Area)","Philadelphia, PA",211160,149.45,254.01,141930,-104.57,-0.4117,69230,0.4878,"Boston, MA (Metropolitan Area)
(42.358894, -71.056742)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,1999,2,30599,30721,"Birmingham, AL","Boston, MA (Metropolitan Area)",18340,175.32,262.93,13900,-87.61,-0.3332,4440,0.3194,"Birmingham, AL
(33.522859, -86.807705)","Boston, MA (Metropolitan Area)
(42.358894, -71.056742)"
Table 4,2015,3,30397,34100,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",221840,146.95,234.87,147870,-87.92,-0.3743,73970,0.5002,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2008,2,30140,30325,"Albuquerque, NM","Denver, CO",65400,92.14,165.22,39480,-73.08,-0.4423,25920,0.6565,"Albuquerque, NM
(35.084248, -106.649241)","Denver, CO
(39.738453, -104.984853)"
Table 4,2009,2,30977,31135,"Chicago, IL","Myrtle Beach, SC",21780,115.18,265.62,7480,-150.44,-0.5664,14300,1.9118,"Chicago, IL
(41.775002, -87.696388)","Myrtle Beach, SC
(33.68785, -78.883852)"
Table 4,1996,1,30397,31066,"Atlanta, GA (Metropolitan Area)","Columbus, OH",52730,103.16,201.54,28530,-98.38,-0.4881,24200,0.8482,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Columbus, OH
(39.962649, -82.996216)"
Table 4,2000,3,30397,30198,"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",68020,155.27,241.9,49020,-86.63,-0.3581,19000,0.3876,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Pittsburgh, PA
(40.442169, -79.994945)"
Table 4,2009,4,33105,30325,"Cincinnati, OH","Denver, CO",26970,174.64,330.05,11780,-155.41,-0.4709,15190,1.2895,"Cincinnati, OH
(39.104427, -84.513808)","Denver, CO
(39.738453, -104.984853)"
Table 4,1997,4,31423,31454,"Des Moines, IA","Orlando, FL",17070,127.87,199.62,5450,-71.75,-0.3594,11620,2.1321,"Des Moines, IA
(41.588822, -93.620309)","Orlando, FL
(28.538331, -81.378879)"
Table 4,2004,3,31453,34100,"Houston, TX","Philadelphia, PA",89670,157.27,263.02,57230,-105.76,-0.4021,32440,0.5668,"Houston, TX
(29.760803, -95.369506)","Philadelphia, PA
(39.951061, -75.16562)"
Table 4,2007,1,30325,30693,"Denver, CO","Nashville, TN",58220,122.33,188.8,35390,-66.47,-0.3521,22830,0.6451,"Denver, CO
(39.738453, -104.984853)","Nashville, TN
(36.166687, -86.779932)"
Table 4,2000,3,30257,30852,"Albany, NY","Washington, DC (Metropolitan Area)",55960,95.42,207.94,26350,-112.52,-0.5411,29610,1.1237,"Albany, NY
(42.651242, -73.755418)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)"
Table 4,2007,3,35412,33195,"Knoxville, TN","Tampa, FL (Metropolitan Area)",16680,130.23,234.87,6210,-104.64,-0.4455,10470,1.686,"Knoxville, TN
(35.962631, -83.916677)","Tampa, FL (Metropolitan Area)
(37.8606, -78.804199)"
Table 4,2009,1,33485,31703,"Madison, WI","New York City, NY (Metropolitan Area)",19500,172.03,248.46,11350,-76.43,-0.3076,8150,0.7181,"Madison, WI
(43.073926, -89.385244)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)"
Table 4,1997,1,30397,32945,"Atlanta, GA (Metropolitan Area)","Lexington, KY",11810,146.43,210.88,5640,-64.44,-0.3056,6170,1.094,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Lexington, KY
(34.052238, -118.243344)"
